C10001,Georgi,Facello,active,M,9/2/1953,gfacello@gmail.com,"676 Little Cider Promenade, Spotted Horn, OH, 43979-0144, US",3956961242,,
C10002,Bezalel,Simmel,active,F,6/2/1964,bsimmel@gmail.com,"408 Stony Stead, Ben Hur, IN, 47675-1910, US",3817154227,,
C10003,Parto,Bamford,disabled,M,12/3/1959,pbamford@gmail.com,"7892 Grand Crossing, Totstalahoeetska, DC, 20001-8376, US",8388337365,,
C10004,Chirstian,Koblick,active,M,5/1/1954,ckoblick@gmail.com,"8935 Green Bear Loop, Big Shell, SC, 29875-0615, US",9985797517,,
C10005,Kyoichi,Maliniak,active,M,1/21/1955,kmaliniak@gmail.com,"3885 Bright Villas, Stinking Creek, CA, 91303-2095, US",7754382127,,
C10006,Anneke,Preusig,disabled,F,4/20/1953,apreusig@gmail.com,"3370 Cinder Blossom Pathway, Montreal, MD, 21912-2711, US",4688685668,,
C10007,Tzvetan,Zielinski,disabled,F,5/23/1957,tzielinski@gmail.com,"3997 Middle Path, Oak Lake, CA, 92189-5572, US",8868461971,,
C10008,Saniya,Kalloufi,active,M,2/19/1958,skalloufi@gmail.com,"1669 Hazy Brook Isle, Bright Star, NV, 89416-2501, US",1629467952,,
C10009,Sumant,Peac,disabled,F,4/19/1952,speac@gmail.com,"9203 Thunder View, Bigfoot, AL, 35786-4994, US",9781818832,,
C10010,Duangkaew,Piveteau,disabled,F,6/1/1963,dpiveteau@gmail.com,"9156 Silver Bluff Pointe, Battiest, AK, 99530-3330, US",5994468286,,
C10011,Mary,Sluis,active,F,11/7/1953,msluis@gmail.com,"4873 Sunny Pony Link, Faker, CO, 81292-8226, US",6312266363,,
C10012,Patricio,Bridgland,active,M,10/4/1960,pbridgland@gmail.com,"6184 Lazy Sky Row, Poverty, NC, 28932-8893, US",8568987789,,
C10013,Eberhardt,Terkki,active,M,6/7/1963,eterkki@gmail.com,"8625 Harvest View Concession, Tuntutuliak, ND, 58679-2365, US",3843315334,,
C10014,Berni,Genin,disabled,M,2/12/1956,bgenin@gmail.com,"7847 Sleepy Willow Harbour, Granite, OH, 45544-1688, US",4839226538,,
C10015,Guoxiang,Nooteboom,active,M,8/19/1959,gnooteboom@gmail.com,"2193 Merry Leaf Mountain, Picatinny Arsenal, KS, 66407-8421, US",5262346567,,
C10016,Kazuhito,Cappelletti,active,M,5/2/1961,kcappelletti@gmail.com,"9373 Emerald Shadow Mews, Trenton, NJ, 08532-3846, US",4699997448,,
C10017,Cristinel,Bouloucos,disabled,F,7/6/1958,cbouloucos@gmail.com,"5925 Shady Ridge, Ordinary, WY, 82894-4205, US",4673622222,,
C10018,Kazuhide,Peha,active,F,6/19/1954,kpeha@gmail.com,"9584 Jagged Pine Woods, Snow Hill, MS, 39515-2901, US",7339748698,,
C10019,Lillian,Haddadi,active,M,1/23/1953,lhaddadi@gmail.com,"6294 Golden Bend, Lockeport, RI, 02867-7730, US",9941928429,,
C10020,Mayuko,Warwick,disabled,M,12/24/1952,mwarwick@gmail.com,"5304 Indian Nook, Copper Spur, SD, 57080-1517, US",4792858789,,
C10021,Ramzi,Erde,disabled,M,2/20/1960,rerde@gmail.com,"7085 Foggy Fox Meadow, Chance, PA, 15431-5906, US",9335465138,,
C10022,Shahaf,Famili,active,M,7/8/1952,sfamili@gmail.com,"9667 Rocky Branch Beach, Shoulderblade, NE, 68838-2367, US",4865393717,,
C10023,Bojan,Montemayor,disabled,F,9/29/1953,bmontemayor@gmail.com,"5217 Quaking Alley, Sackville, ID, 83866-0939, US",7223861593,,
C10024,Suzette,Pettey,disabled,F,9/5/1958,spettey@gmail.com,"8523 Round Oak Townline, Temperance Bell, VA, 23491-4777, US",3992339833,,
C10025,Prasadram,Heyers,active,M,10/31/1958,pheyers@gmail.com,"9505 Pleasant Dale Corners, Crump Town, TN, 38473-0353, US",4268347494,,
C10026,Yongqiao,Berztiss,active,M,4/3/1953,yberztiss@gmail.com,"2108 Blue Trace, Hill Number 2, TX, 77506-6060, US",6326421657,,
C10027,Divier,Reistad,active,F,7/10/1962,dreistad@gmail.com,"5087 Lost Island Ledge, Cairo, DE, 19878-9512, US",1789213219,,
C10028,Domenick,Tempesti,disabled,M,11/26/1963,dtempesti@gmail.com,"6649 Iron Wharf, Hygiene, CT, 06313-8540, US",6577158459,,
C10029,Otmar,Herbst,active,M,12/13/1956,oherbst@gmail.com,"2149 Dusty Apple Ramp, Hookers Bend, MD, 21964-3995, US",4366962626,,
C10030,Elvis,Demeyer,active,M,7/14/1958,edemeyer@gmail.com,"2347 High Quay, Dillingham, UT, 84451-0177, US",3413284382,,
