Insert into customer values('C10001','Georgi','Facello','active','M','1953-09-02','gfacello@gmail.com','676 Little Cider Promenade, Spotted Horn, OH, 43979-0144, US','3956961242',MD5('Georgi'));
Insert into customer values('C10002','Bezalel','Simmel','active','F','1964-06-02','bsimmel@gmail.com','408 Stony Stead, Ben Hur, IN, 47675-1910, US','3817154227',MD5('Bezalel'));
Insert into customer values('C10003','Parto','Bamford','disabled','M','1959-12-03','pbamford@gmail.com','7892 Grand Crossing, Totstalahoeetska, DC, 20001-8376, US','8388337365',MD5('Parto'));
Insert into customer values('C10004','Chirstian','Koblick','active','M','1954-05-01','ckoblick@gmail.com','8935 Green Bear Loop, Big Shell, SC, 29875-0615, US','9985797517',MD5('Chirstian'));
Insert into customer values('C10005','Kyoichi','Maliniak','active','M','1955-01-21','kmaliniak@gmail.com','3885 Bright Villas, Stinking Creek, CA, 91303-2095, US','7754382127',MD5('Kyoichi'));
Insert into customer values('C10006','Anneke','Preusig','disabled','F','1953-04-20','apreusig@gmail.com','3370 Cinder Blossom Pathway, Montreal, MD, 21912-2711, US','4688685668',MD5('Anneke'));
Insert into customer values('C10007','Tzvetan','Zielinski','disabled','F','1957-05-23','tzielinski@gmail.com','3997 Middle Path, Oak Lake, CA, 92189-5572, US','8868461971',MD5('Tzvetan'));
Insert into customer values('C10008','Saniya','Kalloufi','active','M','1958-02-19','skalloufi@gmail.com','1669 Hazy Brook Isle, Bright Star, NV, 89416-2501, US','1629467952',MD5('Saniya'));
Insert into customer values('C10009','Sumant','Peac','disabled','F','1952-04-19','speac@gmail.com','9203 Thunder View, Bigfoot, AL, 35786-4994, US','9781818832',MD5('Sumant'));
Insert into customer values('C10010','Duangkaew','Piveteau','disabled','F','1963-06-01','dpiveteau@gmail.com','9156 Silver Bluff Pointe, Battiest, AK, 99530-3330, US','5994468286',MD5('Duangkaew'));
Insert into customer values('C10011','Mary','Sluis','active','F','1953-11-07','msluis@gmail.com','4873 Sunny Pony Link, Faker, CO, 81292-8226, US','6312266363',MD5('Mary'));
